TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,PRICE_PER_UNIT_AREA,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,TOTAL_LANDMARK_COUNT,BALCONY_NUM,FLOOR_NUM,CARPET_SQFT,BUILTUP_SQFT,SUPER_SQFT,side,latitude,longitude,society,preference,type,AmenityScore
2.0,1,2.0,3662.0,0,0,5,3.0,3662.0,518-623  sq.ft.,19.1 L Onwards,2.0,0.0,1.0,,,,3,22.364447,88.274642,srijan star swapno puron,2,2,0.0
2.0,1,3.0,10500.0,0,0,5,11.0,10500.0,1110-1121  sq.ft.,1.17  - 1.18 Cr,9.0,0.0,1.0,,,,3,22.518795,88.388439,natural quest,2,2,0.0
2.0,1,3.0,8900.0,0,0,5,20.0,8900.0,1376-1516  sq.ft.,1.22  - 1.35 Cr,6.0,0.0,1.0,,,,3,22.5137646,88.3666797,ganguly 4sight eminence,2,2,0.0
2.0,1,,208.0,0,0,0,0.0,208.0,720-2880  sq.ft.,1.5  - 5.99 L,13.0,0.0,0.0,,,,3,22.45383,88.249572,dev bhumi,2,3,0.0
2.0,1,3.0,5215.0,0,0,5,19.0,5215.0,1130-1460  sq.ft.,60  - 75 L,11.0,0.0,1.0,,,,3,22.44213,88.29551,dtc sojon,2,2,0.0
2.0,1,2.0,5108.0,0,0,5,19.0,5108.0,880-960  sq.ft.,45  - 49 L,11.0,0.0,1.0,,,,3,22.44213,88.29551,dtc sojon,2,2,0.0
2.0,1,3.0,7048.0,0,0,5,11.0,7048.0,1289-1422  sq.ft.,90.85 L Onwards,48.0,0.0,1.0,,,,3,22.499927,88.32487,the signature,2,2,0.0
2.0,1,2.0,4239.0,0,0,5,11.0,4239.0,920 sq.ft.,39 L,27.0,0.0,1.0,,,,2,22.690003,88.45908,bhawani bandhan,2,2,0.0
2.0,1,3.0,4700.0,0,0,5,5.0,4700.0,1120-1280  sq.ft.,52.64  - 60.16 L,7.0,0.0,1.0,,,,3,22.44497560154,88.390239965808,symphony proxima,2,2,0.0
2.0,1,2.0,4700.0,0,0,5,5.0,4700.0,885-890  sq.ft.,41.6  - 41.83 L,7.0,0.0,1.0,,,,3,22.44497560154,88.390239965808,symphony proxima,2,2,0.0
2.0,1,,250.0,0,0,0,0.0,250.0,720-2160  sq.ft.,1.8  - 5.4 L,15.0,0.0,0.0,,,,3,22.43966,88.25569,speedland raspunja township,2,3,0.0
0.0,0,4.0,7.0,1,5,3,10.0,7.0,1500 sq.ft.,"11,000/Bed",50.0,1.0,4.0,1500.0,,,0,22.54391,88.355401,ganga jamuna apartment,0,2,62.300000000000004
